interaction_id,user_type,mouse_speed_mean,mouse_speed_stddev,click_frequency,click_interval_mean,click_interval_stddev,scroll_speed_mean,scroll_speed_stddev,typing_speed_mean,typing_speed_stddev,session_duration,activity_gap_mean,activity_gap_stddev
0,0,3.6778273221679854,1.0,10,0.5373028612548048,0.2,2.082407547454345,0.5,0.45325234929378805,0.1,300,0.8014337147048455,0.3
1,0,2.7718414597612457,1.0,10,0.494126905092445,0.2,1.250677838954398,0.5,0.7076961237940546,0.1,300,0.6311094832527548,0.3
2,1,1.5734210280443908,0.1,15,0.21447156980967197,0.05,0.954763602724903,0.1,0.9958765149189504,0.01,300,0.11257966336268715,0.01
3,1,1.5496680081086889,0.1,15,0.23277758897984127,0.05,1.0142304628720937,0.1,0.9948124282514522,0.01,300,0.11123575796226087,0.01
4,1,1.6901337687649844,0.1,15,0.23877965653628447,0.05,0.9035666315574445,0.1,0.9985291015374906,0.01,300,0.10709474842553819,0.01
5,0,2.090733552526122,1.0,10,0.4988011795967042,0.2,1.0058347853541216,0.5,0.6297393158013325,0.1,300,0.4466473408434573,0.3
6,0,1.8028537483457139,1.0,10,0.7917573372946389,0.2,1.4552255649351253,0.5,0.5256536141737886,0.1,300,1.3576991557122389,0.3
7,1,1.541413835875696,0.1,15,0.22241331579892196,0.05,1.0212257711983894,0.1,0.9946998040178011,0.01,300,0.09377631183713166,0.01
8,1,1.576176423445373,0.1,15,0.14586455688454922,0.05,0.9848158915159276,0.1,1.0113919086165135,0.01,300,0.08385264130695086,0.01
9,0,1.2792311835072732,1.0,10,0.13375114663905507,0.2,2.0388734261556625,0.5,0.45058730499880684,0.1,300,0.7152810764174026,0.3
10,0,3.3197307495315425,1.0,10,0.3941087530039658,0.2,1.2571060710833517,0.5,0.6499384157760604,0.1,300,1.137291773738009,0.3
11,0,1.9401635205281955,1.0,10,0.758273670888824,0.2,1.208357709035317,0.5,0.43270226137276924,0.1,300,0.883970947264813,0.3
12,0,0.89904782842782,1.0,10,0.35422687433387234,0.2,0.794414815723705,0.5,0.4366294049064668,0.1,300,0.4937106606387419,0.3
13,1,1.5085375101154528,0.1,15,0.1965932669447926,0.05,0.8463073135787257,0.1,0.9979258424010681,0.01,300,0.10438695187669711,0.01
14,1,1.3163455065543264,0.1,15,0.25043040490804813,0.05,0.8506152915266522,0.1,0.9868264675328341,0.01,300,0.09625896211826966,0.01
15,1,1.6464420463107738,0.1,15,0.1522135976862778,0.05,0.8531456360716393,0.1,1.0024422922510448,0.01,300,0.08888661701558417,0.01
